task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps
2,sphere_bump_lips,7,0,0,1,off,0.0,2.3060638427734546,1.6095726013183587,1.3631714180694503,0.8956408165486999,11.350652892801946,0,roll,11.58,-34.4110395580897,-2.971592362529335,0.3320713937282562,0.11278616949684409,-89.25670251419342,-5.3821905278741555,89.25670251419342,9.790884545906593,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,8,0,1,1,off,0.0,1.8481567382812614,2.1419555664062493,0.8599542054816798,0.6091944806160606,11.602711685305378,1,timeout,20.0,-9.187513959336428,-0.45937569796682143,0.32884061336517334,0.042407836914063066,0.06970689534038048,-4.004655057120414,10.642738001392209,8.249656508387183,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,9,0,1,1,off,0.0,2.327185058593784,2.4211894989013665,1.3924154458132711,0.6823736122987792,10.831007517766292,1,timeout,20.0,29.61912290242509,1.4809561451212545,0.3342432677745819,0.06635925292968921,0.6341779794483695,-4.232161812669601,16.961596848035423,8.132854771309189,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,0,0,1,1,off,0.0,1.2644673585891724,2.748995590209958,0.7943156664154984,1.3627982139578811,9.465213712393565,0,roll,8.26,76.73986558995566,9.29054062832393,0.33625516295433044,0.03201784002290222,-88.86133215304304,13.341002002733081,88.86133215304304,17.768304793572586,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,1,0,1,1,off,0.0,1.7782150268554702,1.390913772583005,0.9882331002616375,0.9095926922149493,9.092209227212052,0,roll,5.74,9.097389339986336,1.584911034840825,0.330966055393219,0.13557753081105753,88.28705705743657,6.3282744250294884,88.28705705743657,14.532065113884935,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,2,0,1,1,off,0.0,1.4522888183593778,2.516381072998044,0.6864507176509713,1.1320779445271847,9.212195199485715,0,roll,9.14,52.42933877542549,5.7362515071581495,0.3400592505931854,0.049484553431004136,-91.39264501199456,15.995878941935246,91.39264501199456,20.677682551910824,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,3,0,1,1,off,0.0,1.3882263183593864,1.4444053649902315,0.6777942702018965,1.118050635090635,9.577901718923973,0,roll,3.86,7.963612096321043,2.0631119420520836,0.32986563444137573,0.1005767664143488,89.20361381370905,-6.843254456360003,89.20361381370905,11.437513963713416,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,4,0,0,1,off,0.0,1.2630676269531307,2.526278305053708,0.5883650488607862,0.5771531891688937,9.002328717175798,0,roll,3.8000000000000003,1.1769453148338016,0.30972245127205306,0.3211979866027832,0.06922832288240281,-88.85746857362821,6.089359388103629,88.85746857362821,14.497594277391126,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,5,0,1,1,off,0.0,1.5255279541015625,2.811741638183591,0.9670078167745874,1.0899978949746283,9.260119276376665,0,roll,7.5,26.386274801925452,3.5181699735900605,0.34360089898109436,0.07007039388020833,-91.85450505549393,8.602890771702423,91.85450505549393,11.61474683580977,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
3,forward_ramp_no_lips,6,0,1,1,off,0.0,1.5407806396484602,2.760544586181638,0.9332051048878786,1.2326137034982785,9.489744937289917,0,roll,9.24,25.31991110599722,2.740250119696669,0.33238688111305237,0.05852604325199786,-88.27419399294246,6.745522130310416,88.27419399294246,15.15991998877693,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
