switch_delay_s,task,level,skill,t_start_s,t_end_s,x_start_m,x_end_m,duration_s
0,jump_on_and_off_box,8,WALK,23.3,27.4,6.72799,7.53985,4.1
0,jump_on_and_off_box,8,RUN,27.4,28.5,7.53985,8.06772,1.1
0,jump_on_and_off_box,8,WALK,28.5,32.3,8.06772,8.82755,3.8
0,jump_on_and_off_box,8,RUN,32.3,32.6,8.82755,8.97152,0.3
0,jump_on_and_off_box,8,WALK,32.6,36.5,8.97152,9.73878,3.9
0,jump_on_and_off_box,8,RUN,36.5,37.6,9.73878,10.2667,1.1
0,jump_on_and_off_box,8,WALK,37.6,41.4,10.2667,11.0266,3.8
0,jump_on_and_off_box,8,RUN,41.4,42.2,11.0266,11.4105,0.8
0,jump_on_and_off_box,8,WALK,42.2,46.1,11.4105,12.1867,3.9
0,jump_on_and_off_box,8,RUN,46.1,47.2,12.1867,12.7143,1.1
0,jump_on_and_off_box,8,WALK,47.2,51.1,12.7143,13.4938,3.9
0,jump_on_and_off_box,8,RUN,51.1,51.5,13.4938,13.6857,0.4
0,jump_on_and_off_box,8,WALK,51.5,55.5,13.6857,14.4814,4
0,jump_on_and_off_box,8,RUN,55.5,59.9,14.4814,16.55,4.4
0,jump_on_and_off_box,9,TROT,0,0,1,1,0
0,jump_on_and_off_box,9,WALK,0,3.7,1,1.73982,3.7
0,jump_on_and_off_box,9,RUN,3.7,4.2,1.73982,1.97964,0.5
0,jump_on_and_off_box,9,WALK,4.2,8.3,1.97964,2.78727,4.1
0,jump_on_and_off_box,9,RUN,8.3,9.3,2.78727,3.26715,1
0,jump_on_and_off_box,9,WALK,9.3,17.2,3.26715,4.8303,7.9
0,jump_on_and_off_box,9,RUN,17.2,18.2,4.8303,5.31029,1
0,jump_on_and_off_box,9,WALK,18.2,22.1,5.31029,6.09028,3.9
0,jump_on_and_off_box,9,RUN,22.1,22.5,6.09028,6.28228,0.4
0,jump_on_and_off_box,9,WALK,22.5,26.6,6.28228,7.08721,4.1
0,jump_on_and_off_box,9,RUN,26.6,27.6,7.08721,7.56633,1
0,jump_on_and_off_box,9,WALK,27.6,31.5,7.56633,8.3449,3.9
0,jump_on_and_off_box,9,RUN,31.5,32.1,8.3449,8.63237,0.6
0,jump_on_and_off_box,9,WALK,32.1,36.2,8.63237,9.44123,4.1
0,jump_on_and_off_box,9,RUN,36.2,37.2,9.44123,9.92123,1
0,jump_on_and_off_box,9,WALK,37.2,41,9.92123,10.6812,3.8
0,jump_on_and_off_box,9,RUN,41,41.8,10.6812,11.0652,0.8
0,jump_on_and_off_box,9,WALK,41.8,45.7,11.0652,11.8289,3.9
