task,level,switch_delay_s,step_walk_max_m,lookahead_trot_m,px_ground_width_m,obs_step_up_max,obs_step_up_p95,obs_step_up_mean,true_step_up_max,true_step_up_p95,true_step_up_mean,ticks_in_jump_band,jump_gate,requests_dropped_busy,jump_detections,jump_tracks_missed,jump_band_ticks,jump_blocked_far,jump_blocked_retrigger,switches,jumps,goals_reached,goals_total,sim_time_s,travelled_m,stalled,timed_out,n_segments,warn_tick_frac,blind_tick_frac,stale_tick_frac,unsupported_fatal,unsupported_unverified,frac_WALK,frac_TROT,frac_RUN,frac_JUMP,sequence
flush_a_frame,3,0,0.06,0.05,0.00316793,0.07,0.045,0.0287082,0.07,0.045,0.0287082,12,near_edge,0,0,0,5,0,4,3,1,8,8,65.8,13.7191,False,False,5,1,0,0,0,0,0.943769,0.00151976,0.0425532,0.0121581,TROT→WALK→JUMP→WALK→RUN
flush_a_frame,4,0,0.06,0.05,0.00316793,0.07,0.06,0.0301359,0.07,0.06,0.0301359,58,near_edge,0,0,0,37,0,34,5,3,8,8,69.9,14.2156,False,False,9,1,0,0,0,0,0.922747,0.00143062,0.0414878,0.0343348,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
flush_a_frame,5,0,0.06,0.05,0.00316793,0.12,0.06,0.0339528,0.12,0.06,0.0339528,68,near_edge,0,0,0,54,0,52,3,2,8,8,63.5,13.1045,False,False,6,1,0,0,0,0,0.927559,0.0015748,0.0456693,0.0251969,TROT→JUMP→WALK→JUMP→WALK→RUN
flush_a_frame,6,0,0.06,0.05,0.00316793,0.065,0.065,0.0375157,0.065,0.065,0.0375157,154,near_edge,0,0,0,112,0,106,8,6,8,8,63.8,12.5071,False,False,15,1,0,0,0,0,0.877743,0,0.0470219,0.0752351,TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
flush_a_frame,7,0,0.06,0.05,0.00316793,0.07,0.07,0.0410316,0.07,0.07,0.0410316,241,near_edge,0,0,0,178,0,169,10,9,8,8,66.4,12.6155,False,False,20,1,0,0,0,0,0.84488,0,0.0466867,0.108434,TROT→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
flush_a_frame,8,0,0.06,0.05,0.00316793,0.07,0.07,0.0358967,0.07,0.07,0.0358967,130,near_edge,0,0,0,95,0,90,6,5,8,8,69.7,13.916,False,False,12,1,0,0,0,0,0.898135,0,0.0444763,0.0573888,TROT→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→RUN
flush_a_frame,9,0,0.06,0.05,0.00316793,0.095,0.075,0.041809,0.095,0.075,0.041809,263,near_edge,0,0,0,193,0,183,16,10,8,8,69.1,13.1055,False,False,27,1,0,0,0,0,0.833575,0.00434153,0.0463097,0.115774,TROT→WALK→JUMP→WALK→TROT→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→TROT→WALK→RUN
sphere_bump,0,0,0.06,0.05,0.00316793,0.075,0.065,0.02948,0.075,0.065,0.02948,59,near_edge,0,0,0,38,0,35,26,3,8,8,62.5,15.2686,False,False,30,1,0,0,0,0,0.784,0.0512,0.1264,0.0384,TROT→RUN→TROT→WALK→JUMP→WALK→TROT→RUN→TROT→WALK→JUMP→WALK→JUMP→WALK→TROT→RUN→TROT→WALK→TROT→WALK→TROT→RUN→TROT→WALK→TROT→RUN→TROT→WALK→TROT→RUN
sphere_bump,1,0,0.06,0.05,0.00316793,0.075,0.075,0.0374112,0.075,0.075,0.0374112,295,near_edge,0,0,0,211,0,199,25,12,8,8,73.2,15.9972,False,False,38,1,0,0,0,0,0.711749,0.0327869,0.124317,0.131148,TROT→RUN→JUMP→WALK→JUMP→WALK→TROT→RUN→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→TROT→RUN→TROT→WALK→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→TROT→RUN→TROT→JUMP→WALK→JUMP→WALK→TROT→RUN
sphere_bump,2,0,0.06,0.05,0.00316793,0.25,0.25,0.0492192,0.25,0.25,0.0492192,296,near_edge,0,0,0,219,0,208,24,11,8,8,73,14.9129,False,False,36,1,0,0,9,0,0.779452,0.0260274,0.0739726,0.120548,TROT→RUN→TROT→WALK→JUMP→WALK→RUN→TROT→JUMP→WALK→JUMP→WALK→JUMP→WALK→JUMP→WALK→TROT→JUMP→WALK→JUMP→WALK→TROT→RUN→JUMP→WALK→JUMP→WALK→RUN→JUMP→WALK→JUMP→WALK→TROT→RUN→WALK→RUN
