task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,partial,skill,start_phase,foot_comp,steps
9,bump_jump,0,0,1,1,heading-only,0.04,1.8636109828948975,1.3771957397460852,1.064757754781395,0.9407122845682349,8.90818695975318,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,1,0,1,1,heading-only,0.04,2.2077957153320327,1.4025939941406165,1.3474659275140421,0.7856708299957486,8.862362582722369,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,2,0,1,1,heading-only,0.04,2.882342529296878,0.9197219848632727,2.1703027409989404,1.2101439807478418,8.139662011077592,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,3,0,1,1,heading-only,0.04,2.2943313598632926,1.1656860351562415,1.5399264466392129,0.7145524417534793,9.044232828044343,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,4,0,1,1,heading-only,0.04,2.230398559570318,1.3519348144531165,1.3906362213428176,0.6344450554092772,9.042853456123188,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,5,0,1,1,heading-only,0.04,2.033782958984375,1.5858215332031165,1.1136655730715155,0.6475413859633433,9.475273551194858,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,6,0,1,1,heading-only,0.04,2.8279663085937727,1.4292892456054602,1.9149860549193376,0.8037186726667975,8.640901326882831,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,7,0,1,1,heading-only,0.04,2.0500213623047046,1.573873901367179,1.1331938550981717,0.7359061201177349,9.809238744735499,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,8,0,1,1,heading-only,0.04,2.3262145996093864,0.8779357910156165,1.7372027093292353,1.088269623223973,9.589656742646088,0,,,,,,,off,5.0,0,WALK,first,on,1000
9,bump_jump,9,0,1,1,heading-only,0.04,2.135107421875034,2.0445846557617102,1.1359826806449018,0.6010815988442775,9.764994360154489,1,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,0,0,1,1,heading-only,0.04,3.1973063945770264,2.9794235229492188,2.405706929148966,1.6546826272320918,7.1699042455128135,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,1,0,1,1,heading-only,0.04,1.4414878845214858,2.6533432006835938,0.7885232336835355,1.1984161003087797,8.882572501137222,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,2,0,1,1,heading-only,0.04,1.457575988769534,2.5991363525390625,0.7538833825149807,1.1060161586565702,8.912584875581388,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,3,0,1,1,heading-only,0.04,1.3591125488281364,2.6727981567382812,0.7626396150451861,1.302052711895942,9.36508599721169,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,4,0,1,1,heading-only,0.04,1.4928039550781307,2.6046905517578125,0.7800682031244549,1.0942382642563084,9.027470922414613,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,5,0,1,1,heading-only,0.04,1.959442138671875,1.6257171630859375,1.0298625439677376,0.521326118621521,8.698613888608955,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,6,0,1,1,heading-only,0.04,1.7273803710937727,2.066375732421875,0.7304025890610293,0.6933108930796793,9.322855918822432,1,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,7,0,1,1,heading-only,0.04,2.8468658447265796,3.3373031616210938,2.280195867573528,1.8614644228692918,8.36077766305398,0,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,8,0,1,1,heading-only,0.04,1.7134826660156364,1.943206787109375,0.7157394663809031,0.6069770892748848,9.236691936511894,1,,,,,,,off,5.0,0,WALK,first,on,1000
10,sideways_ramp,9,0,1,1,heading-only,0.04,1.658209228515659,2.006256103515625,0.6582389591435449,0.7169084326506983,9.49179283320417,1,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,0,0,1,1,heading-only,0.04,2.1301369667053223,2.6549316406249943,1.3061948619580668,0.5120378654559297,4.369227858594427,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,1,0,1,1,heading-only,0.04,2.028279876708986,2.5092483520507756,1.1474726092204022,0.460434351698733,4.351620239419445,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,2,0,1,1,heading-only,0.04,2.0404159545898466,2.5283752441406193,1.166895778202047,0.44476441165215735,4.143411809717976,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,3,0,1,1,heading-only,0.04,2.185948181152355,1.245378112792963,1.4056768053256372,0.9163306992785527,3.7409530769380956,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,4,0,1,1,heading-only,0.04,1.9892333984375057,2.5179077148437443,1.116606966519055,0.4310115323556121,3.845799070762657,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,5,0,1,1,heading-only,0.04,2.014862060546875,2.6266189575195256,1.1927264228901386,0.5732575898220207,4.281243357264116,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,6,0,1,1,heading-only,0.04,2.0295043945312727,2.5283142089843693,1.1571496021578118,0.4925663119561769,4.005490139353891,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,7,0,1,1,heading-only,0.04,1.994219970703142,2.6180969238281193,1.1706908889159173,0.5741868252651167,3.8556459171765822,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,8,0,1,1,heading-only,0.04,2.6134765625000114,2.8971191406249943,1.8461119603676752,0.8839210655084292,3.2142572521054382,0,,,,,,,off,5.0,0,WALK,first,on,1000
11,stepping_stones_cylinder,9,0,1,1,heading-only,0.04,2.828863525390659,2.770272827148432,1.9844550946664397,0.9347048486202172,3.069360223075377,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,0,0,2,1,heading-only,0.04,2.5028347969055176,2.711795043945301,1.662878411482674,0.6418291852350063,3.9616346127319155,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,1,0,2,1,heading-only,0.04,1.9311042785644545,2.4825927734374886,1.048737794939765,0.8309756742988363,4.196735317026521,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,2,0,2,1,heading-only,0.04,2.026454162597659,2.5099975585937386,1.1461699951078965,0.6867583577394403,4.1053469036354855,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,3,0,2,1,heading-only,0.04,2.6313369750976676,3.2322494506835824,2.044431225312018,1.158081873420356,3.6810408703292805,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,4,0,2,1,heading-only,0.04,2.041159057617193,2.6569091796874886,1.2310734558165126,0.7618354714272983,4.259797148766063,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,5,0,2,1,heading-only,0.04,1.9534912109375,2.4828598022460824,1.0687839248230606,0.7884427328162668,3.9759382805537524,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,6,0,2,1,heading-only,0.04,2.0567260742187727,2.568301391601551,1.1998485186181125,0.6738243003038487,3.8850638270543447,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,7,0,2,1,heading-only,0.04,1.990008544921892,2.586764526367176,1.1508299302769538,0.707937850448166,4.0526934351369475,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,8,0,2,1,heading-only,0.04,1.9724853515625114,2.4779464721679574,1.0835869089562948,0.6846227336949086,3.956488865641943,0,,,,,,,off,5.0,0,WALK,first,on,1000
12,stepping_stones_randomly_arranged,9,0,2,1,heading-only,0.04,2.047644042968784,2.597010803222645,1.2058109055455284,0.747438650539582,3.6021736138920173,0,,,,,,,off,5.0,0,WALK,first,on,1000
13,staircase_walking_full_width,0,0,0,1,heading-only,0.04,1.6758755445480347,2.676853942871091,0.9565244438582029,0.7504584749352725,14.09039071308994,0,,,,,,,off,5.0,0,WALK,first,on,1000
13,staircase_walking_full_width,1,0,0,1,heading-only,0.04,1.4433227539062514,2.5892837524414034,0.7374214568497747,0.8106447416778457,14.318808231301515,0,,,,,,,off,5.0,0,WALK,first,on,1000
13,staircase_walking_full_width,2,0,0,1,heading-only,0.04,1.4312774658203153,2.5487030029296847,0.697907757478341,0.7902659718777066,11.581727680197842,0,,,,,,,off,5.0,0,WALK,first,on,1000
13,staircase_walking_full_width,3,0,0,1,heading-only,0.04,1.5732849121093864,2.790325927734372,0.9763558073271561,0.8981652622333433,11.454013827993931,0,,,,,,,off,5.0,0,WALK,first,on,1000
13,staircase_walking_full_width,4,0,0,1,heading-only,0.04,1.4634765625000057,2.607556152343747,0.7641563990686463,0.8105441858637621,11.552510441555006,0,,,,,,,off,5.0,0,WALK,first,on,1000
